[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:35:07] #0569/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:35:41] #0570/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.799 | conf=0.770 | gap=0.620
[2026-05-11 15:36:33] #0572/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 15:36:50] #0573/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:37:51] #0575/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 15:38:08] #0576/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 15:38:26] #0577/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 15:38:59] #0578/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 15:39:48] #0580/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.657 | conf=0.300 | gap=0.050
[2026-05-11 15:40:13] #0581/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:42:29] #0584/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:42:44] #0585/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:43:37] #0587/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 15:43:54] #0588/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.541 | conf=0.500 | gap=0.350
[2026-05-11 15:45:09] #0590/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.644 | conf=0.850 | gap=0.800
[2026-05-11 15:46:09] #0592/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:46:52] #0593/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:47:43] #0595/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:48:14] #0596/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 15:48:45] #0597/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.861 | conf=0.750 | gap=0.650
[2026-05-11 15:49:49] #0599/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 15:51:00] #0601/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 15:53:01] #0603/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 15:54:38] #0606/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:54:58] #0607/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-11 15:56:04] #0609/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 15:57:15] #0611/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 15:58:17] #0613/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 15:58:32] #0614/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:59:11] #0615/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 15:59:34] #0616/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 16:00:46] #0618/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 16:01:02] #0619/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 16:01:36] #0620/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:02:22] #0621/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:02:44] #0622/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:03:01] #0623/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:03:22] #0624/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 16:04:56] #0627/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:05:30] #0628/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 16:05:46] #0629/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 16:06:33] #0630/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 16:08:14] #0633/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.991 | conf=0.750 | gap=0.670
[2026-05-11 16:08:51] #0634/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:09:07] #0635/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 16:09:40] #0636/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.743 | conf=0.800 | gap=0.700
[2026-05-11 16:10:41] #0638/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.474 | conf=0.900 | gap=0.870
[2026-05-11 16:12:19] #0641/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.963 | conf=0.750 | gap=0.650
[2026-05-11 16:14:16] #0644/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:14:30] #0645/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:16:54] #0649/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:17:58] #0651/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:19:12] #0653/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:20:38] #0655/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 16:21:09] #0656/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 16:22:48] #0659/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:23:37] #0660/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 16:24:47] #0662/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 16:25:12] #0663/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:25:29] #0664/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.937 | conf=0.750 | gap=0.670
[2026-05-11 16:26:00] #0665/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:27:54] #0668/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 16:28:20] #0669/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.608 | conf=0.450 | gap=0.300
[2026-05-11 16:29:02] #0670/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:29:22] #0671/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 16:30:30] #0673/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.646 | conf=0.850 | gap=0.800
[2026-05-11 16:30:48] #0674/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 16:31:26] #0675/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 16:33:38] #0678/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-11 16:34:15] #0679/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:34:51] #0680/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:35:08] #0681/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 16:35:51] #0682/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 16:36:26] #0683/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:37:09] #0684/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:38:32] #0686/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.626 | conf=0.400 | gap=0.250
[2026-05-11 16:38:49] #0687/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.826 | conf=0.800 | gap=0.720
[2026-05-11 16:39:08] #0688/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.626 | conf=0.400 | gap=0.250
[2026-05-11 16:40:52] #0691/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:43:20] #0695/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 16:43:53] #0696/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 16:45:33] #0699/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.006 | conf=0.700 | gap=0.580
[2026-05-11 16:46:13] #0700/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:46:30] #0701/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:48:27] #0704/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 16:49:24] #0706/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 16:49:40] #0707/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.140 | conf=0.700 | gap=0.630
[2026-05-11 16:50:40] #0709/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.653 | conf=0.400 | gap=0.200
[2026-05-11 16:50:57] #0710/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.110 | conf=0.700 | gap=0.620
[2026-05-11 16:51:39] #0711/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:52:03] #0712/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.577 | conf=0.880 | gap=0.850
[2026-05-11 16:52:51] #0713/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:53:49] #0715/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:54:53] #0717/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.827 | conf=0.780 | gap=0.710
[2026-05-11 16:55:09] #0718/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.639 | conf=0.350 | gap=0.050
[2026-05-11 16:56:40] #0721/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.187 | conf=0.650 | gap=0.520
[2026-05-11 16:57:21] #0722/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 16:58:07] #0723/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:58:37] #0724/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:58:54] #0725/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=2.483 | conf=0.178 | gap=0.030
[2026-05-11 17:00:28] #0728/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 17:01:14] #0729/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 17:02:34] #0731/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:03:57] #0734/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:04:16] #0735/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:05:10] #0736/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.110 | conf=0.700 | gap=0.620
[2026-05-11 17:09:36] #0738/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:20:22] #0736/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 17:21:22] #0738/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 17:21:42] #0739/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.780 | gap=0.700
[2026-05-11 17:22:00] #0740/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.722 | conf=0.400 | gap=0.250
[2026-05-11 17:22:29] #0741/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:23:09] #0742/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 17:23:25] #0743/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 17:23:48] #0744/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:24:06] #0745/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 17:26:11] #0748/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.380 | conf=0.550 | gap=0.350
[2026-05-11 17:26:27] #0749/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 17:27:01] #0750/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:27:17] #0751/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:28:48] #0753/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 17:28:59] #0754/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:30:53] #0758/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:31:20] #0759/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 17:32:02] #0760/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 17:32:17] #0761/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 17:32:33] #0762/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:32:58] #0763/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 17:33:45] #0765/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:34:03] #0766/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.591 | conf=0.450 | gap=0.250
[2026-05-11 17:35:09] #0767/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:36:14] #0769/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 17:36:41] #0770/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 17:37:08] #0771/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 17:37:41] #0772/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 17:38:25] #0773/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 17:38:59] #0774/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.298 | conf=0.929 | gap=0.879
[2026-05-11 17:40:41] #0775/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 17:40:57] #0776/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:41:18] #0777/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.522 | conf=0.450 | gap=0.250
[2026-05-11 17:41:45] #0778/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 17:42:06] #0779/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.261 | conf=0.550 | gap=0.350
[2026-05-11 17:42:43] #0780/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 17:45:31] #0785/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:46:11] #0787/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-11 17:47:05] #0788/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 17:48:55] #0792/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 17:49:22] #0793/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:51:05] #0796/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.541 | conf=0.500 | gap=0.350
[2026-05-11 17:51:59] #0797/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 17:52:16] #0798/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:53:07] #0800/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-11 17:54:27] #0802/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.924 | conf=0.750 | gap=0.670
[2026-05-11 17:54:45] #0803/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 17:58:32] #0805/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.780 | gap=0.700
